period,skills,count,total_period_posts,market_share
2026-01,ai,122,714,17.09
2026-01,android,6,714,0.84
2026-01,aws,33,714,4.62
2026-01,c++,10,714,1.4
2026-01,django,6,714,0.84
2026-01,docker,9,714,1.26
2026-01,fastapi,6,714,0.84
2026-01,gcp,12,714,1.68
2026-01,go,25,714,3.5
2026-01,ios,10,714,1.4
2026-01,java,5,714,0.7
2026-01,javascript,57,714,7.98
2026-01,kubernetes,19,714,2.66
2026-01,llm,17,714,2.38
2026-01,machine learning,27,714,3.78
2026-01,mysql,5,714,0.7
2026-01,nextjs,14,714,1.96
2026-01,node.js,17,714,2.38
2026-01,postgresql,14,714,1.96
2026-01,python,47,714,6.58
2026-01,r,12,714,1.68
2026-01,react,56,714,7.84
2026-01,redis,9,714,1.26
2026-01,ruby,5,714,0.7
2026-01,rust,17,714,2.38
2026-01,sql,10,714,1.4
2026-01,terraform,12,714,1.68
2026-01,typescript,51,714,7.14
2026-02,ai,100,639,15.65
2026-02,aws,33,639,5.16
2026-02,azure,7,639,1.1
2026-02,c++,5,639,0.78
2026-02,docker,8,639,1.25
2026-02,gcp,14,639,2.19
2026-02,go,20,639,3.13
2026-02,ios,9,639,1.41
2026-02,java,6,639,0.94
2026-02,javascript,52,639,8.14
2026-02,kubernetes,12,639,1.88
2026-02,llm,9,639,1.41
2026-02,machine learning,23,639,3.6
2026-02,nextjs,11,639,1.72
2026-02,node.js,9,639,1.41
2026-02,postgresql,22,639,3.44
2026-02,python,49,639,7.67
2026-02,pytorch,5,639,0.78
2026-02,r,5,639,0.78
2026-02,react,43,639,6.73
2026-02,redis,5,639,0.78
2026-02,ruby,6,639,0.94
2026-02,rust,19,639,2.97
2026-02,sql,8,639,1.25
2026-02,tailwind,5,639,0.78
2026-02,terraform,12,639,1.88
2026-02,typescript,49,639,7.67
