period,skills,count,total_posts,market_share
2026-01,AI,130,274,47.44525547445255
2026-01,AWS,39,274,14.233576642335766
2026-01,Airflow,3,274,1.094890510948905
2026-01,Ansible,1,274,0.36496350364963503
2026-01,Azure,4,274,1.4598540145985401
2026-01,C#,1,274,0.36496350364963503
2026-01,C++,12,274,4.37956204379562
2026-01,ClickHouse,2,274,0.7299270072992701
2026-01,Cloudflare,3,274,1.094890510948905
2026-01,Docker,13,274,4.744525547445255
2026-01,GCP,13,274,4.744525547445255
2026-01,Go,28,274,10.218978102189782
2026-01,Java,7,274,2.5547445255474455
2026-01,JavaScript,10,274,3.64963503649635
2026-01,Kubernetes,20,274,7.2992700729927
2026-01,LLM,23,274,8.394160583941606
2026-01,LangChain,3,274,1.094890510948905
2026-01,Machine Learning,30,274,10.948905109489052
2026-01,NodeJS,21,274,7.664233576642336
2026-01,PyTorch,1,274,0.36496350364963503
2026-01,Python,58,274,21.16788321167883
2026-01,React,69,274,25.18248175182482
2026-01,Redis,8,274,2.9197080291970803
2026-01,Ruby,5,274,1.824817518248175
2026-01,Rust,22,274,8.02919708029197
2026-01,SQL,12,274,4.37956204379562
2026-01,Terraform,9,274,3.2846715328467155
2026-01,TypeScript,61,274,22.26277372262774
2026-01,Vue,2,274,0.7299270072992701
2026-02,AI,103,194,53.09278350515464
2026-02,AWS,38,194,19.587628865979383
2026-02,Airflow,2,194,1.0309278350515463
2026-02,Angular,2,194,1.0309278350515463
2026-02,Ansible,2,194,1.0309278350515463
2026-02,Azure,7,194,3.608247422680412
2026-02,C#,3,194,1.5463917525773196
2026-02,C++,7,194,3.608247422680412
2026-02,ClickHouse,2,194,1.0309278350515463
2026-02,Cloudflare,4,194,2.0618556701030926
2026-02,Docker,10,194,5.154639175257731
2026-02,Elasticsearch,3,194,1.5463917525773196
2026-02,GCP,17,194,8.762886597938143
2026-02,Go,22,194,11.34020618556701
2026-02,Java,8,194,4.123711340206185
2026-02,JavaScript,4,194,2.0618556701030926
2026-02,Kubernetes,16,194,8.24742268041237
2026-02,LLM,11,194,5.670103092783505
2026-02,LangChain,3,194,1.5463917525773196
2026-02,Machine Learning,21,194,10.824742268041238
2026-02,NodeJS,14,194,7.216494845360824
2026-02,PyTorch,1,194,0.5154639175257731
2026-02,Python,55,194,28.350515463917525
2026-02,React,51,194,26.288659793814436
2026-02,Redis,5,194,2.5773195876288657
2026-02,Ruby,6,194,3.0927835051546393
2026-02,Rust,21,194,10.824742268041238
2026-02,SQL,8,194,4.123711340206185
2026-02,Snowflake,2,194,1.0309278350515463
2026-02,TensorFlow,1,194,0.5154639175257731
2026-02,Terraform,10,194,5.154639175257731
2026-02,TypeScript,58,194,29.896907216494846
2026-02,Vue,1,194,0.5154639175257731
