period,skills,count,total_period_posts,market_share
2026-01,ai,122,726,16.8
2026-01,android,6,726,0.83
2026-01,aws,33,726,4.55
2026-01,c++,10,726,1.38
2026-01,django,6,726,0.83
2026-01,docker,9,726,1.24
2026-01,fastapi,6,726,0.83
2026-01,gcp,12,726,1.65
2026-01,go,25,726,3.44
2026-01,ios,10,726,1.38
2026-01,java,5,726,0.69
2026-01,javascript,57,726,7.85
2026-01,kubernetes,19,726,2.62
2026-01,llm,17,726,2.34
2026-01,machine learning,27,726,3.72
2026-01,mysql,5,726,0.69
2026-01,nextjs,14,726,1.93
2026-01,node.js,17,726,2.34
2026-01,postgresql,14,726,1.93
2026-01,python,47,726,6.47
2026-01,r,12,726,1.65
2026-01,react,56,726,7.71
2026-01,redis,9,726,1.24
2026-01,ruby,5,726,0.69
2026-01,rust,17,726,2.34
2026-01,sql,10,726,1.38
2026-01,terraform,12,726,1.65
2026-01,typescript,51,726,7.02
2026-02,ai,94,628,14.97
2026-02,aws,31,628,4.94
2026-02,azure,7,628,1.11
2026-02,docker,9,628,1.43
2026-02,gcp,13,628,2.07
2026-02,go,22,628,3.5
2026-02,ios,8,628,1.27
2026-02,java,5,628,0.8
2026-02,javascript,54,628,8.6
2026-02,kubernetes,10,628,1.59
2026-02,llm,9,628,1.43
2026-02,machine learning,22,628,3.5
2026-02,nextjs,11,628,1.75
2026-02,node.js,10,628,1.59
2026-02,postgresql,22,628,3.5
2026-02,python,48,628,7.64
2026-02,r,5,628,0.8
2026-02,react,43,628,6.85
2026-02,redis,5,628,0.8
2026-02,ruby,6,628,0.96
2026-02,rust,19,628,3.03
2026-02,sql,9,628,1.43
2026-02,terraform,10,628,1.59
2026-02,typescript,50,628,7.96
2026-03,ai,86,579,14.85
2026-03,aws,30,579,5.18
2026-03,c++,7,579,1.21
2026-03,django,6,579,1.04
2026-03,docker,11,579,1.9
2026-03,fastapi,6,579,1.04
2026-03,gcp,11,579,1.9
2026-03,go,17,579,2.94
2026-03,ios,6,579,1.04
2026-03,java,6,579,1.04
2026-03,javascript,46,579,7.94
2026-03,kubernetes,10,579,1.73
2026-03,llm,10,579,1.73
2026-03,machine learning,28,579,4.84
2026-03,nextjs,12,579,2.07
2026-03,node.js,7,579,1.21
2026-03,postgresql,19,579,3.28
2026-03,python,38,579,6.56
2026-03,pytorch,5,579,0.86
2026-03,react,42,579,7.25
2026-03,redis,7,579,1.21
2026-03,ruby,10,579,1.73
2026-03,rust,14,579,2.42
2026-03,sql,6,579,1.04
2026-03,terraform,8,579,1.38
2026-03,typescript,41,579,7.08
2026-04,ai,104,606,17.16
2026-04,aws,27,606,4.46
2026-04,c#,5,606,0.83
2026-04,c++,5,606,0.83
2026-04,django,7,606,1.16
2026-04,docker,9,606,1.49
2026-04,express,5,606,0.83
2026-04,fastapi,6,606,0.99
2026-04,gcp,5,606,0.83
2026-04,go,21,606,3.47
2026-04,ios,7,606,1.16
2026-04,java,10,606,1.65
2026-04,javascript,36,606,5.94
2026-04,kubernetes,12,606,1.98
2026-04,llm,22,606,3.63
2026-04,machine learning,26,606,4.29
2026-04,nextjs,7,606,1.16
2026-04,node.js,14,606,2.31
2026-04,postgresql,17,606,2.81
2026-04,python,43,606,7.1
2026-04,pytorch,5,606,0.83
2026-04,react,36,606,5.94
2026-04,redis,6,606,0.99
2026-04,ruby,6,606,0.99
2026-04,rust,17,606,2.81
2026-04,terraform,11,606,1.82
2026-04,typescript,35,606,5.78
